GC,N,C
1,13,-27.6
1,13.9,-26.3
1,12.7,-27
1,14.3,-25.2
1,12.7,-27.3
1,13.4,-26.2
1,14.1,-26.2
1,13.7,-29.5
1,13.3,-28.1
1,14,-25.8
1,13.3,-28.8
1,12.7,-28.1
1,13.5,-28
1,12.5,-29.4
1,12.9,-28.2
1,13,-28
1,14,-27.5
1,13.8,-26
1,13.8,-25.9
1,13.4,-26.8
1,13.1,-28.1
2,13.8,-29.2
2,14.6,-25.7
2,12.8,-28.8
2,12.8,-27.6
2,14.1,-26.1
2,14.5,-27.5
2,13.4,-26.1
2,14.9,-27
2,14.1,-27.9
2,13.8,-25.9
2,14.7,-28.3
2,12.9,-28.7
2,12.7,-27.7
2,14.3,-26
2,14.3,-27.1
2,13.4,-26.9
2,14.2,-29.5
2,14.3,-26.9
2,12.5,-28.9
2,12.8,-27.9
2,13.6,-27.4
2,13.4,-26.1
2,13.7,-26.4
3,13.4,-25.6
3,13,-27.7
3,14.8,-28.8
3,12.8,-27.4
3,13.4,-26.3
3,12.4,-29.2
3,13.3,-27.4
3,12.7,-26.8
3,14.5,-28.2
3,12.5,-26.9
3,13,-29.6
3,13,-28
3,13.3,-29.1
3,13.2,-27.9
3,14.4,-25.8
3,13.7,-26.8
3,14,-26.3
3,13.9,-25.6
3,13.1,-26.5
3,13.4,-25.9
3,13.7,-28
3,14,-25.9
3,13.9,-29.5
3,13.9,-25.2
3,13.1,-26.8
3,13.1,-25.7
3,12.6,-27.5
3,13,-27.9
3,13.3,-25.4
3,14.5,-27.2
3,12.1,-26.9
3,12.7,-28.8
3,11.8,-26.7
3,12.7,-28
3,12.2,-26.4
3,13.3,-25.7
3,13.4,-26.1
3,13.5,-28.2
3,13.7,-30.1
